TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"투여기간주의","단일",D000425,Metoclopramide,"메토클로프라미드","","필름코팅정",197200484,"맥페란정(메토클로프라미드)",19720210,"동화약품(주)","흰색의 원형 필름코팅정",02390,"기타의 소화기관용약","전문의약품","[M050465]메토클로프라미드",20150331,"","","Metoclopramide(메토클로프라미드)",20140103
"투여기간주의","단일",D001300,Bisacodyl,"비사코딜","","장용성당의정",197600483,"신일비사코딜정",19760629,"신일제약(주)","노란색의 원형 장용성 필름코팅정",02380,"하제, 완장제","일반의약품","[M050687]비사코딜",20231108,"","","Bisacodyl(비사코딜)",20210422
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","장용성필름코팅정",198000058,"디페인정(디클로페낙나트륨)",19800329,"동광제약(주)","황색의 장용피 원형정제",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20260220
"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부크림제",198100280,"도모호론크림(클로베타솔프로피오네이트)",19810224,"(주)동구바이오제약","흰색 거의 흰색의 유연한 크림으로 이물질이 없이 전질 균등한 외용 크림제이다.",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20190621,"","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","장용성필름코팅정",198200559,"하나디클로페낙나트륨정(수출용)",19820427,"하나제약(주)","황갈색의 원형 장용성 제피정제이다.",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20260220
"투여기간주의","단일",D001309,Desoximetasone,"데속시메타손","","피부로션제",198300438,"에스파손로션(0.25%)(데속시메타손)",19831216,"(주)한독","흰색의 로션",02640,"진통.진양.수렴.소염제","전문의약품","[M050197]데속시메타손",20190621,"","","Desoximetasone(데속시메타손)",20180614
"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부연고제",198300730,"베타베이트연고(클로베타솔프로피오네이트)(수출명:클로베덤0.05%연고)(CLOBEDERM0.05%Ointment)",19830317,"고려제약(주)","무색 내지 백색의 전질균등한 외용연고제이다",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20190621,"","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","용액주사제",198600424,"소페낙주사(디클로페낙나트륨)",19860628,"아주약품(주)","무색 또는 미황색의 액체가 충진된 갈색 앰플제임.",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20250415
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","용액주사제",198600666,"바렌탁주(디클로페낙나트륨)",19860628,"환인제약(주)","무색 투명한 액체가 든 갈색의 앰플제",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20250415
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","장용성필름코팅정",198601054,"레틸론정(디클로페낙나트륨)(수출용)",19861117,"대화제약(주)","주황색의 원형장용제피정",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20260220
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","장용성필름코팅정",198601164,"하나디클로페낙나트륨정50밀리그램(수출용)",19860320,"하나제약(주)","주황색의 원형 장용성 제피정제",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20260220
"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부연고제",198700788,"도모호론연고(클로베타솔프로피오네이트)",19870513,"(주)동구바이오제약","반투명한 흰색-미황색의 전질균등한 연고제",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20190621,"","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","장용성필름코팅정",198701676,"디낙스정(디클로페낙나트륨)",19870501,"지엘파마(주)","주황색의 원형 장용피정.",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20260220
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","용액주사제",198701689,"토라렌주(디클로페낙나트륨)(수출명:토페라렌주사(Toferareninjection))",19871204,"명문제약(주)","무색투명한 용액이 든 무색투명한 앰플 (수출용: 무색투명한 용액이 든 갈색앰플)",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨/[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20250415
"투여기간주의","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","용액주사제",198801647,"레틸론주(디클로페낙나트륨)(수출용)",19880822,"대화제약(주)","무색등명한 액체가 든 갈색 앰플제",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20150507,"","","Diclofenac Sodium(디클로페낙나트륨)",20250415
"투여기간주의","단일",D000083,Nimesulide,"니메술리드","","나정",198900263,"메수리드정(니메술리드)",19890918,"제이더블유중외제약(주)","미황색을 띤 원형의 정제",01140,"해열.진통.소염제","전문의약품","[M082649]니메술리드",20150507,"","","Nimesulide(니메술리드)",20230905
"투여기간주의","단일",D001310,Prednicarbate,"프레드니카르베이트","","피부연고제",198900818,"더마톱연고0.25%(프레드니카르베이트)",19890424,"(주)한독","백색연고.",02640,"진통.진양.수렴.소염제","전문의약품","[M084063]프레드니카르베이트",20190621,"","","Prednicarbate(프레드니카르베이트)",20180518
"투여기간주의","단일",D000506,"Diclofenac Beta-Dimethylaminoethanol","디클로페낙β-디메틸아미노에탄올","","용액주사제",198902280,"디크놀주사(디클로페낙β-디메틸아미노에탄올)",19890918,"명문제약(주)","이약은 무색-미황색의 투명한 용액이 든 무색투명한 앰플제이다",01140,"해열.진통.소염제","전문의약품","[M252249]디클로페낙β-디메틸아미노에탄올",20150507,"","","Diclofenac Beta-Dimethylaminoethanol(디클로페낙β-디메틸아미노에탄올)",20250415
"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부현탁액제",199001515,"베타베이트액(클로베타솔프로피오네이트)",19901220,"고려제약(주)","이 약은 전질균등한 투명의 액상제이다.",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20190621,"","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
