TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"노인주의","단일",D000893,Chlorpheniramine,"클로르페니라민","[M223211]클로르페니라민말레산염","용액주사제",196000010,"페니라민주사(클로르페니라민말레산염)",19600721,"(주)유한양행","무색 투명한 액이 충전된 앰플",01410,"항히스타민제","전문의약품","[M223211]클로르페니라민말레산염",20200924,"","","Chlorpheniramine(클로르페니라민)",20140521
"노인주의","단일",D000893,Chlorpheniramine,"클로르페니라민","[M223211]클로르페니라민말레산염","나정",196000011,"페니라민정(클로르페니라민말레산염)",19601010,"(주)유한양행","미황색의 원형 정제",01410,"항히스타민제","일반의약품","[M223211]클로르페니라민말레산염",20200924,"","","Chlorpheniramine(클로르페니라민)",20190826
"노인주의","단일",D001262,Dimenhydrinate,"디멘히드리네이트","[M040096]디멘히드리네이트","나정",197000076,"보나링에이정(디멘히드리네이트)",19700416,"일양약품(주)","국내용: 흰색의 장방형 정제",02350,"최토제, 진토제","일반의약품","[M040096]디멘히드리네이트",20200924,"","","Dimenhydrinate(디멘히드리네이트)",20180530
"노인주의","단일",D000809,Amitriptyline,"아미트리프틸린","[M223101]아미트리프틸린염산염","필름코팅정",197000079,"에나폰정10밀리그램(아미트리프틸린염산염)",19700220,"환인제약(주)","청색의 원형 필름코팅정",01170,"정신신경용제","전문의약품","[M223101]아미트리프틸린염산염",20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Amitriptyline(아미트리프틸린)",20250811
"노인주의","단일",D000440,Benztropine,"벤즈트로핀","[M247864]벤즈트로핀메실산염","나정",197100097,"환인벤즈트로핀정(벤즈트로핀메실산염)",19710202,"환인제약(주)","백색의 원형정제",01190,"기타의 중추신경용약","전문의약품","[M247864]벤즈트로핀메실산염",20200924,"","","Benztropine(벤즈트로핀)",20131127
"노인주의","단일",D000466,Nortriptyline,"노르트립틸린","[M050132]염산노르트립틸린","필름코팅정",197300150,"센시발정10밀리그램(염산노르트립틸린)",19730117,"일성아이에스(주)","엷은 적색의 필름코팅정",01170,"정신신경용제","전문의약품","[M050132]염산노르트립틸린",20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Nortriptyline(노르트립틸린)",20240809
"노인주의","단일",D000466,Nortriptyline,"노르트립틸린","[M050132]염산노르트립틸린","필름코팅정",197300151,"센시발정25밀리그램(염산노르트립틸린)",19730117,"일성아이에스(주)","흰색의 필름코팅정",01170,"정신신경용제","전문의약품","[M050132]염산노르트립틸린",20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Nortriptyline(노르트립틸린)",20240809
"노인주의","단일",D000809,Amitriptyline,"아미트리프틸린","[M223101]아미트리프틸린염산염","필름코팅정",197500186,"에트라빌10밀리그램정(아미트리프틸린염산염)",19750211,"동화약품(주)","이 약은 청색의 제피정이다.",01170,"정신신경용제","전문의약품","[M223101]아미트리프틸린염산염",20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Amitriptyline(아미트리프틸린)",20250811
"노인주의","단일",D000809,Amitriptyline,"아미트리프틸린","[M223101]아미트리프틸린염산염","필름코팅정",197500188,"에트라빌25밀리그램정(아미트리프틸린염산염)",19750211,"동화약품(주)","노란색의 원형 필름코팅정",01170,"정신신경용제","전문의약품","[M223101]아미트리프틸린염산염",20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Amitriptyline(아미트리프틸린)",20250811
"노인주의","단일",D000026,Cyproheptadine,"시프로헵타딘","[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물","나정",197500386,"영일페리악틴정(시프로헵타딘염산염수화물)(수출명:메디페리악틴정, 메디타딘정)(수출용)",19750205,"영일제약(주)","흰색의 원형 정제",01410,"항히스타민제","전문의약품","[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물",20200924,"","","Cyproheptadine(시프로헵타딘)",20180620
