CPNT_CD,DRUG_CPNT_KOR_NM,DRUG_CPNT_ENG_NM,FOML_CD,FOML_NM,DOSAGE_ROUTE_CODE,DAY_MAX_DOSG_QY_UNIT,DAY_MAX_DOSG_QY
M007131,"정제수","Purified Water",901001,"체외","기타","",0.00000
M010053,"사람혈액응고제IX인자복합체","Human Blood Coagulation Factor IX Complex",210402,"용액용동결건조분말주사제","정맥","",0.00000
M010107,"항파상풍사람면역글로불린","Anti-Tetanus Human Immunoglobulin",210101,"용액주사제","근육","",0.00000
M010107,"항파상풍사람면역글로불린","Anti-Tetanus Human Immunoglobulin",210101,"용액주사제","근육, 주사","",0.00000
M020009,"황산네오마이신","Neomycin Sulfate",350101,"피부연고제","외용","",0.00000
M020020,"니스타틴",Nystatin,020501,"질연질캡슐제","경구","캡슐",1.00000
M020020,"니스타틴",Nystatin,020501,"질연질캡슐제","질","캡슐",1.00000
M020020,"니스타틴",Nystatin,070101,"액상시럽제","경구","밀리리터",24.00000
M020020,"니스타틴",Nystatin,420201,"질좌제, 일반","질","캡슐",1.00000
M020042,"리팜피신",Rifampicin,010201,"필름코팅정","경구","정",4.00000
M020042,"리팜피신",Rifampicin,010301,"당의정","경구","정",6.00000
M020042,"리팜피신",Rifampicin,020101,"경질캡슐제, 산제","경구","캡슐",8.00000
M020054,"바시트라신",Bacitracin,350101,"피부연고제","외용","",0.00000
M020059,"세파졸린나트륨","Cefazolin Sodium",210401,"용액용분말주사제","정맥, 근육","바이알",5.00000
M020080,"아목시실린나트륨","Amoxicillin Sodium",210401,"용액용분말주사제","정맥, 근육","바이알",6.00000
M020085,"황산아미카신","Amikacin Sulfate",210101,"용액주사제","정맥, 근육","바이알",6.00000
M020088,"암포테리신B","Amphotericin B",210406,"리포좀화현탁액용동결건조분말주사제","정맥","",0.00000
M020092,"암피실린나트륨","Ampicillin Sodium",210401,"용액용분말주사제","정맥, 근육","바이알",16.00000
M020122,"클로람페니콜",Chloramphenicol,410101,"점안용액제","눈","",0.00000
