DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,MAX_QTY,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
636,"용량주의","단일",D000592,Triazolam,"트리아졸람","","[I005603]트리아졸람/[M088380]트리아졸람","[01120]최면진정제","정제","0.25밀리그램",20130703,"","","정상"
809,"용량주의","단일",D000456,Alacepril,"알라세프릴","","[M091774]알라세프릴","[02140]혈압강하제","정제","알라세프릴 100밀리그램",20130703,"","","정상"
812,"용량주의","단일",D000176,Captopril,"캅토프릴","","[M081550]캅토프릴","[02140]혈압강하제","정제","400밀리그램",20130703,"","","정상"
1734,"용량주의","복합",D000176,Captopril,"캅토프릴","[D000414]Hydrochlorothiazide(히드로클로로티아지드)","[M081550]캅토프릴/[M080768]히드로클로르치아지드/[M089923]히드로클로로치아짓/[M097694]히드로클로로치아지드/[M223356]히드로클로로티아지드","[02140]혈압강하제","정제","100밀리그램",20130703,"캅토프릴 100mg/히드로클로로티아지드 50mg","","정상"
1735,"용량주의","단일",D000796,Fosinopril,"포시노프릴","","[M085058]포시노프릴나트륨","[02140]혈압강하제","정제","40밀리그램",20130703,"","","정상"
1736,"용량주의","단일",D000529,Mexazolam,"멕사졸람","","[M220309]멕사졸람","[01170]정신신경용제","정제","(고령자)멕사졸람 1.5밀리그램",20130703,"(고령자) 멜록시캄 1.5mg","","정상"
1737,"용량주의","단일",D000784,Nalbuphine,"날부핀","","[M082036]염산날부핀/[M257272]날부핀염산염","[01140]해열.진통.소염제","용액주사제","날부핀염산염 160밀리그램",20130703,"","","정상"
1738,"용량주의","단일",D000794,Pentazocine,"펜타조신","","[M051738]펜타조신/[M093557]염산펜타조신","[01140]해열.진통.소염제","정제/용액주사제","360밀리그램",20130703,"","","정상"
1739,"용량주의","단일",D000398,Ramipril,"라미프릴","","[M083172]라미프릴/[M255729]히드록시프로필메틸셀룰로오스로제피한라미프릴과립","[02140]혈압강하제","정제/캡슐","라미프릴 10밀리그램",20130703,"","","정상"
1740,"용량주의","단일",D000152,Amlodipine,"암로디핀","","[M083437]베실산암로디핀/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염","[02140]혈압강하제","정제/캡슐","암로디핀 10밀리그램",20131128,"","","정상"
1741,"용량주의","단일",D000220,Losartan,"로사르탄","","[M086307]로자탄칼륨/[M201944]포타슘로사탄/[M248335]로자탄칼륨/[M249673]로사르탄칼륨/[M255575]로사르탄칼륨(로자탄으로서 45.8mg)/[M257973]로사르탄칼슘/[M259810]로자르탄칼륨/[M260076]로사르탄칼륨(로사르탄으로서45.8mg)","[02140]혈압강하제","정제","로사르탄칼륨 100밀리그램",20131128,"","","정상"
1742,"용량주의","단일",D000358,"Olmesartan Medoxomil","올메사르탄메독소밀","","[I002674]올메사르탄메독소밀/[M102509]올메사탄메독소밀/[M257074]올메사르탄메독소밀","[02140]혈압강하제","정제","올메사르탄메독소밀 40밀리그램",20131128,"","","정상"
1743,"용량주의","단일",D000540,Buspirone,"부스피론","","[M081980]염산부스피론/[M222852]부스피론염산염","[01170]정신신경용제","정제","부스피론염산염 60밀리그램",20131128,"","","정상"
1744,"용량주의","단일",D000427,Meloxicam,"멜록시캄","","[M086439]멜록시캄","[01140]해열.진통.소염제","정제/캡슐/구강붕해정","멜록시캄 15밀리그램",20131128,"","","정상"
1745,"용량주의","단일",D000621,Pranlukast,"프란루카스트","","[M087212]프란루카스트수화물","[01490]기타의 알레르기용약","정제/캡슐/용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/액상시럽제/건조시럽용 과립제","450밀리그램",20131128,"","","정상"
1746,"용량주의","단일",D000086,Dexibuprofen,"덱시부프로펜","","[M088349]덱시부프로펜디ㆍ씨/[M092057]덱시부프로펜/[M212364]덱시부프로펜디씨/[M214134]덱시부프로펜 디.씨/[M215523]덱시부프로펜 디.씨./[M240099]덱시부프로펜디.씨/[M254719]덱시부프로펜","[01140]해열.진통.소염제","정제/캡슐","덱시부프로펜 1,200밀리그램",20131227,"","","정상"
1747,"용량주의","단일",D000363,Ibuprofen,"이부프로펜","","[M051259]이부프로펜/[M071015]이부프로펜리신/[M086772]이부프로펜제피세립/[M209277]이부프로펜아르기닌/[M246943]이부프로펜나트륨이수화물","[01140]해열.진통.소염제","정제/캡슐/용액주사제/액상시럽제/서방정/서방성필름코팅정","이부프로펜 3,200밀리그램",20131227,"","","정상"
1748,"용량주의","단일",D000714,Mazindol,"마진돌","","[M092419]마진돌","[01230]자율신경제","정제","마진돌 1.5밀리그램",20131227,"","","정상"
1749,"용량주의","단일",D000701,"Phendimetrazine tartrate","펜디메트라진타르타르산염","","[M088437]주석산펜디메트라진/[M214394]주석산펜디메트라진/[M230784]펜디메트라진타르타르산염","[01230]자율신경제","정제","210밀리그램",20131227,"","","정상"
1750,"용량주의","단일",D000178,Quazepam,"쿠아제팜","","[M102600]쿠아제팜","[01120]최면진정제","정제","30밀리그램",20131227,"","","정상"
1751,"용량주의","단일",D000062,Temocapril,"테모카프릴","","[M252702]테모카프릴염산염","[02140]혈압강하제","정제","4밀리그램",20131227,"","","정상"
1752,"용량주의","단일",D000526,Lidamidine,"리다미딘","","[M257561]리다미딘염산염","[02390]기타의 소화기관용약","캡슐","리다미딘염산염 20밀리그램",20131227,"","","정상"
1753,"용량주의","단일",D000259,Amiodarone,"아미오다론","","[A005259]아미오다론","[02120]부정맥용제","용액주사제","아미오다론염산염 1,200밀리그램",20141024,"","","정상"
1754,"용량주의","단일",D000212,"Flecainide Acetate","플레카이니드아세테이트","","[M201704]초산플레카이니드/[M239215]플레카이니드아세테이트/[M257171]플레카이니드아세트산염","[02120]부정맥용제","정제","400밀리그램",20141024,"","","정상"
1755,"용량주의","단일",D000212,"Flecainide Acetate","플레카이니드아세테이트","","[M201704]초산플레카이니드/[M239215]플레카이니드아세테이트/[M257171]플레카이니드아세트산염","[02120]부정맥용제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","600밀리그램",20141024,"","","정상"
1756,"용량주의","단일",D000829,Triamterene,"트리암테렌","","[M040663]트리암테렌","[02130]이뇨제","정제","300밀리그램",20141024,"","","정상"
1757,"용량주의","단일",D000454,Atenolol,"아테놀롤","","[M080475]아테놀올/[M201140]아테놀롤","[02140]혈압강하제","정제","아테놀롤 100밀리그램",20141024,"","","정상"
1758,"용량주의","단일",D000436,Betaxolol,"베탁솔롤","","[M081704]염산베탁솔롤/[M222850]베탁솔롤염산염/[M230045]베탁소롤염산염","[02140]혈압강하제","정제","베탁솔롤염산염 20밀리그램",20141024,"","","정상"
1759,"용량주의","단일",D000370,Carvedilol,"카르베딜롤","","[M085731]카르베딜롤/[M116008]카르베딜롤 과립/[M259204]카르베딜롤과립","[02140]혈압강하제","정제/필름코팅정","카르베딜롤 100밀리그램",20141024,"","","정상"
1760,"용량주의","단일",D000370,Carvedilol,"카르베딜롤","","[M085731]카르베딜롤/[M116008]카르베딜롤 과립/[M259204]카르베딜롤과립","[02140]혈압강하제","서방성캡슐제, 펠렛/서방정","카르베딜롤 128밀리그램",20141024,"","","정상"
1761,"용량주의","단일",D000785,Nebivolol,"네비보롤","","[M246568]네비보롤염산염/[M254774]네비보롤염산염","[02140]혈압강하제","정제","네비보롤 10밀리그램",20141024,"","","정상"
1762,"용량주의","단일",D000607,Nipradilol,"니프라딜롤","","[M083116]니프라딜롤","[02140]혈압강하제","정제","니프라딜롤 18밀리그램",20141024,"","","정상"
1763,"용량주의","단일",D000554,Enalapril,"에날라프릴","","[M082059]말레인산에날라프릴/[M099977]말레인산에날프릴/[M223118]에날라프릴말레산염/[M223119]에날라프릴말레산염 정/[M249863]에날라프릴말레인산염","[02140]혈압강하제","정제","에날라프릴말레산염 40밀리그램",20141024,"","","정상"
1764,"용량주의","단일",D000273,"Candesartan cilexetil","칸데사르탄실렉세틸","","[M089055]칸데사르탄실렉세틸","[02140]혈압강하제","정제","칸데사르탄실렉세틸 32밀리그램",20141024,"","","정상"
1765,"용량주의","단일",D000756,"Olmesartan Cilexetil","올메사르탄실렉세틸","","[M256141]올메사탄실렉세틸","[02140]혈압강하제","정제","44.16밀리그램",20141024,"","","삭제"
1766,"용량주의","단일",D000011,Valsartan,"발사르탄","","[M090403]발사르탄","[02140]혈압강하제","정제","발사르탄 320밀리그램",20141024,"","","정상"
1767,"용량주의","단일",D000404,Felodipine,"펠로디핀","","[M081580]펠로디핀과립4ㆍ79%/[M084735]펠로디핀","[02140]혈압강하제","정제","20밀리그램",20141024,"","","정상"
1768,"용량주의","단일",D000543,Bisoprolol,"비소프롤롤","","[M102058]푸마르산비소프롤롤/[M222856]비소프롤롤푸마르산염","[02190]기타의 순환계용약","정제","비소프롤롤푸마르산염 20밀리그램",20141024,"","","정상"
1769,"용량주의","단일",D000433,Minoxidil,"미녹시딜","","[M081480]미녹시딜","[02140]혈압강하제","정제","미녹시딜 100밀리그램",20141024,"","","정상"
1770,"용량주의","단일",D000231,Moxonidine,"목소니딘","","[M085598]목소니딘","[02140]혈압강하제","정제","목소니딘 0.6밀리그램",20141024,"","","정상"
1771,"용량주의","단일",D000752,Efonidipine,"에포니디핀","","[M257938]에포니디핀염산염","[02170]혈관확장제","정제","에포니디핀염산염 60밀리그램",20141024,"","","정상"
1773,"용량주의","단일",D000197,Nifedipine,"니페디핀","","[M050164]니페디핀/[M260164]니페디핀(미분화)","[02170]혈관확장제","정제/서방성필름코팅정","니페디핀 120밀리그램",20141024,"","","정상"
1774,"용량주의","단일",D000196,Nisoldipine,"니솔디핀","","[M089893]니솔디핀","[02170]혈관확장제","정제/서방정","니솔디핀 40밀리그램",20141024,"","","정상"
1775,"용량주의","단일",D000329,Verapamil,"베라파밀","","[M080637]염산베라파밀/[M203207]베라파밀염산염","[02170]혈관확장제","서방성필름코팅정","베라파밀염산염 480밀리그램",20141024,"","","정상"
1776,"용량주의","단일",D000306,Fluvastatin,"플루바스타틴","","[M214128]플루바스타틴나트륨","[02180]동맥경화용제","서방정/서방성필름코팅정/서방성당의정/서방성다층정/서방성장용필름코팅정/캡슐","80밀리그램",20141024,"","","정상"
1777,"용량주의","단일",D000419,Lovastatin,"로바스타틴","","[M083392]로바스타틴","[02180]동맥경화용제","정제","로바스타틴 80밀리그램",20141024,"","","정상"
