DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,MAX_DOSAGE_TERM,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
459,"투여기간주의","단일",D000592,Triazolam,"트리아졸람","","[I005603]트리아졸람/[M088380]트리아졸람","[01120]최면진정제","정제","21일",20100511,"","","정상"
460,"투여기간주의","단일",D000271,"Zolpidem tartrate","졸피뎀타르타르산염","","[M088392]주석산졸피뎀/[M222883]졸피뎀타르타르산/[M239566]졸피뎀타르타르산염/[M261178]졸피뎀타르타르산염","[01120]최면진정제","정제/서방성필름코팅정","28일",20141230,"","","정상"
461,"투여기간주의","단일",D000489,Thiocolchicoside,"티오콜키코시드","","[M095614]치오콜치코시드/[M251172]티오콜키코시드","[01220]골격근이완제","캡슐","7일",20141230,"","","정상"
462,"투여기간주의","단일",D000489,Thiocolchicoside,"티오콜키코시드","","[M095614]치오콜치코시드/[M251172]티오콜키코시드","[01220]골격근이완제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","5일",20141230,"","","정상"
463,"투여기간주의","복합",D000489,Thiocolchicoside,"티오콜키코시드","[D000232]Aescin(에스신)","[M095614]치오콜치코시드/[M251172]티오콜키코시드/[M080565]무정형에스신","[01220]골격근이완제","정제","7일",20141230,"","","정상"
464,"투여기간주의","복합",D000448,Pseudoephedrine,"슈도에페드린","[D000647]Cetirizine(세티리진)","[M050833]염산슈도에페드린/[M081720]황산슈도에페드린/[M203364]슈도에페드린염산염/[M222865]수도에페드린염산염/[M248579]수도에페드린황산염/[M256034]수도에페드린염산염 과립/[M258826]수도에페드린/[M051285]염산세티리진/[M222857]세티리진염산염","[01410]항히스타민제","정제/캡슐","21일",20141230,"","","정상"
465,"투여기간주의","단일",D000078,Granisetron,"그라니세트론","","[M093643]염산그라니세트론/[M245313]그라니세트론/[M246726]그라니세트론염산염/[M254683]그라니세트론염산염","[02350]최토제, 진토제","경피흡수제","7일",20150331,"","","정상"
466,"투여기간주의","단일",D000203,"Ramosetron Hydrochloride","라모세트론염산염","","[M246846]라모세트론염산염/[M255325]라모세트론염산염","[02350]최토제, 진토제","구강붕해정/정제/구강붕해필름","5일",20150331,"","항암제 투여로 인한 구역 및 구토의 방지에 쓰는 제품에 한함","정상"
467,"투여기간주의","단일",D000425,Metoclopramide,"메토클로프라미드","","[M050465]메토클로프라미드/[M050466]염산메토클로프라미드/[M223013]메토클로프라미드염산염수화물","[02390]기타의 소화기관용약","정제","5일",20150331,"","","정상"
468,"투여기간주의","복합",D000425,Metoclopramide,"메토클로프라미드","[D000803]Pancreatin(판크레아틴)","[M050465]메토클로프라미드/[M050466]염산메토클로프라미드/[M223013]메토클로프라미드염산염수화물/[M040678]판크레아틴/[M082071]판크레아틴장용과립/[M089689]판크레아틴I/[M089690]판크레아틴II/[M102500]판크레아틴장용성제피정/[M257265]판크레아틴장용성제피펠렛/[M261343]판크레아틴Ⅰ/[M262958]판크레아틴장용성제피미세정","[02390]기타의 소화기관용약","정제","5일",20150331,"","","정상"
