TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"용량주의","단일",D000176,Captopril,"캅토프릴","","나정",198600630,"카프릴정12.5밀리그람(캅토프릴)수출명;Captolongtablet12.5mg(captopril)",19861222,"(주)보령","이 약은 흰색 원형정제이다.",02140,"혈압강하제","전문의약품","[M081550]캅토프릴",20130703,"","","Captopril(캅토프릴)",20201229
"용량주의","단일",D000176,Captopril,"캅토프릴","","나정",198700705,"카프릴정25mg(캅토프릴)수출명:Captolongtablet25mg(captopril)",19870504,"(주)보령","이 약은 흰색원형 정제이다.",02140,"혈압강하제","전문의약품","[M081550]캅토프릴",20130703,"","","Captopril(캅토프릴)",20201229
"용량주의","단일",D000540,"Buspirone Hydrochloride","부스피론염산염","","나정",198700706,"보령부스파정5밀리그램(부스피론염산염)",19870323,"(주)보령","이약은 양면볼록한 장방형의 흰색정제이다",01170,"정신신경용제","전문의약품","[M222852]부스피론염산염",20131128,"","","Buspirone Hydrochloride(부스피론염산염)",20160825
"용량주의","단일",D000540,"Buspirone Hydrochloride","부스피론염산염","","나정",198700707,"보령부스파정10밀리그램(부스피론염산염)",19870625,"(주)보령","양면 볼록한 장방형의 흰색정제이다",01170,"정신신경용제","전문의약품","[M222852]부스피론염산염",20131128,"","","Buspirone Hydrochloride(부스피론염산염)",20160825
"용량주의","단일",D000176,Captopril,"캅토프릴","","나정",198800823,"카프릴정50밀리그람(캅토프릴)수출명:captolongtablet50mg(captopril)",19880527,"(주)보령","이 약은 흰색 원형정제이다",02140,"혈압강하제","전문의약품","[M081550]캅토프릴",20130703,"","","Captopril(캅토프릴)",20201229
"용량주의","단일",D000540,"Buspirone Hydrochloride","부스피론염산염","","나정",199101080,"명인부스피론염산염정10밀리그램",19910917,"명인제약(주)","양면이 볼록한 장방형의 흰색 정제",01170,"정신신경용제","전문의약품","[M222852]부스피론염산염",20131128,"","","Buspirone Hydrochloride(부스피론염산염)",20151006
"용량주의","단일",D000540,"Buspirone Hydrochloride","부스피론염산염","","나정",199101086,"명인부스피론염산염정5밀리그램",19910917,"명인제약(주)","양면이 볼록한 장방형의 흰색 정제",01170,"정신신경용제","전문의약품","[M222852]부스피론염산염",20131128,"","","Buspirone Hydrochloride(부스피론염산염)",20171128
"용량주의","단일",D000540,"Buspirone Hydrochloride","부스피론염산염","","나정",199200144,"스부롤정(부스피론염산염)",19920831,"한국휴텍스제약(주)","청색의 원형 정제",01170,"정신신경용제","전문의약품","[M222852]부스피론염산염",20131128,"","","Buspirone Hydrochloride(부스피론염산염)",20130821
"용량주의","단일",D000398,"Ramipril Granules Coated Hydroxypropyl Methylcellulose","히드록시프로필메틸셀룰로오스로제피한라미프릴과립","","나정",199200883,"트리테이스정5밀리그람(라미프릴)",19921125,"(주)한독","연한 적색의 양면에 홈이 파인 장방형 정제",02140,"혈압강하제","전문의약품","[M255729]히드록시프로필메틸셀룰로오스로제피한라미프릴과립",20130703,"","","Ramipril Granules Coated Hydroxypropyl Methylcellulose(히드록시프로필메틸셀룰로오스로제피한라미프릴과립)",20180119
"용량주의","단일",D000398,"Ramipril Granules Coated Hydroxypropyl Methylcellulose","히드록시프로필메틸셀룰로오스로제피한라미프릴과립","","나정",199200884,"트리테이스정2.5밀리그람(라미프릴)",19921125,"(주)한독","연한황색의 양면에 홈이 파인 장방형 정제.",02140,"혈압강하제","전문의약품","[M255729]히드록시프로필메틸셀룰로오스로제피한라미프릴과립",20130703,"","","Ramipril Granules Coated Hydroxypropyl Methylcellulose(히드록시프로필메틸셀룰로오스로제피한라미프릴과립)",20180119
