TYPE_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MIX,MAIN_INGR,PROHBT_CONTENT,REMARK,CHANGE_DATE,BIZRNO
"분할주의",197100081,"키모랄에스정",1971May6th,"장용성필름코팅정","(주)에이프로젠바이오로직스","내수용 : 연녹색의 원형 장용성 필름코팅정, 수출용 : 적색의 원형 장용성 필름코팅정",03950,"효소제제","일반의약품","복합","[M051649]결정트립신/[M095415]브로멜라인/[M095415]브로멜라인/[M051649]결정트립신","분할불가","",20210629,2188100518
"분할주의",197600483,"신일비사코딜정",1976June29th,"장용성당의정","신일제약(주)","노란색의 원형 장용성 필름코팅정",02380,"하제, 완장제","일반의약품","단일","[M050687]비사코딜","분할불가","",20210422,3038113742
"분할주의",198000058,"디페인정(디클로페낙나트륨)",1980March29th,"장용성필름코팅정","동광제약(주)","황색의 장용피 원형정제",01140,"해열.진통.소염제","전문의약품","단일","[M050288]디클로페낙나트륨","분할불가","",20260220,2018644250
"분할주의",198000206,"트렌탈서방정400(펜톡시필린)",1980November8th,"서방성필름코팅정","(주)한독","장방형의 흰색 서방성 필름코팅정.(수출용 : 장방형의 분홍색 서방성 당의정)",02190,"기타의 순환계용약","전문의약품","단일","[M051736]펜톡시필린/[M051736]펜톡시필린","분할불가","",20210618,2208100530
"분할주의",198200559,"하나디클로페낙나트륨정(수출용)",1982April27th,"장용성필름코팅정","하나제약(주)","황갈색의 원형 장용성 제피정제이다.",01140,"해열.진통.소염제","전문의약품","단일","[M050288]디클로페낙나트륨","분할불가","",20260220,1248137632
"분할주의",198200707,"오페릴50서방정(오르페나드린시트르산염50밀리그램)",1982May7th,"서방성필름코팅정","(주)새한제약","백색 내지 미백색의 서방성 원형정제",01220,"골격근이완제","전문의약품","단일","[M266971]오르페나드린시트르산염","분할불가","",20220302,1258103547
"분할주의",198300393,"크레인정50단위(칼리디노게나제)",1983February25th,"장용성필름코팅정","(주)일화","흰색의 원형 장용성 필름코팅정",02190,"기타의 순환계용약","전문의약품","단일","[M082140]칼리디노게나제","분할불가","",20140925,1328101004
"분할주의",198300603,"부광이소맥지속성캡슐(이소소르비드이질산염지속과립)",1983July5th,"서방성캡슐제, 펠렛","부광약품(주)","미백색 펠렛이 들어있는 상: 군청색 하: 무색투명의 캡슐제",02170,"혈관확장제","전문의약품","단일","[M259305]이소소르비드이질산염지속과립","분할불가","",20210629,1188100450
"분할주의",198400083,"엑셀라제캅셀(수출용)",1984September6th,"장용성캡슐제, 펠렛","(주)유유제약","장용피막을 입힌 엷은 황갈색의 내핵정과 엷은 황갈색의 분말의 혼합물을 충진한 엷은 주황색의 경질캅셀제",02330,"건위소화제","일반의약품","복합","[M081340]사낙타제/[M090580]푸록타제/[M081341]메이세라제/[M081342]오리파제2S/[M227507]췌장성 소화효소 TA","분할불가","",20141013,1238101790
"분할주의",198500623,"올트릴정200밀리그램(발프로산나트륨)(수출용)",1985April17th,"장용성필름코팅정","명인제약(주)","황색의장용피정",01130,"항전간제","전문의약품","단일","[M070676]발프로산나트륨","분할불가","",20250203,1248118673
"분할주의",198500624,"올트릴정300밀리그램(발프로산나트륨)(수출용)",1985July6th,"장용성필름코팅정","명인제약(주)","황색 원형의 장용성 필름코팅정",01130,"항전간제","전문의약품","단일","[M070676]발프로산나트륨","분할불가","",20250203,1248118673
"분할주의",198600058,"헤르벤서방정90밀리그램(딜티아젬염산염)",1986May12th,"서방정","에이치케이이노엔(주)","흰색-유백색의 원형서방정이다.",02170,"혈관확장제","전문의약품","단일","[M222982]딜티아젬염산염","분할불가","",20240319,2018638914
"분할주의",198600649,"아진탈포르테정(수출용)",1986November5th,"장용성당의정","일양약품(주)","등적색의 장용성 당의정",02360,"이담제","일반의약품","복합","[M070806]아진타미드/[M040678]판크레아틴/[M226008]셀룰라제4000/[M223083]시메티콘","분할불가","",20141013,2098100872
"분할주의",198600674,"뉴본정50단위(칼리디노게나제)",1986August28th,"장용성필름코팅정","(주)메디카코리아","흰색의 원형 장용성 필름코팅정",02190,"기타의 순환계용약","전문의약품","단일","[M082140]칼리디노게나제","분할불가","",20240628,1208165228
"분할주의",198601054,"레틸론정(디클로페낙나트륨)(수출용)",1986November17th,"장용성필름코팅정","대화제약(주)","주황색의 원형장용제피정",01140,"해열.진통.소염제","전문의약품","단일","[M050288]디클로페낙나트륨","분할불가","",20260220,1338122322
"분할주의",198601164,"하나디클로페낙나트륨정50밀리그램(수출용)",1986March20th,"장용성필름코팅정","하나제약(주)","주황색의 원형 장용성 제피정제",01140,"해열.진통.소염제","전문의약품","단일","[M050288]디클로페낙나트륨","분할불가","",20260220,1248137632
"분할주의",198601222,"메디락에스장용캡슐",1986December18th,"장용성필름코팅캡슐제","한미약품(주)","흰색~밝은 노란색의 가루가 함유된 상, 하 흰색의 장용성 경질캡슐제",02370,"정장제","일반의약품","단일","[M263434]엔테로코쿠스페슘균/[M080610]바실루스서브틸리스균","분할불가","",20250602,1248700613
"분할주의",198601285,"파메콘정",1986October20th,"장용성당의정","알파제약(주)","내수용 : 백색의 타원형 장용성 당의정제, 수출용 : 연두색의 타원형 장용성 당의정제",02330,"건위소화제","일반의약품","복합","[M040678]판크레아틴/[M050855]시메치콘/[M040678]판크레아틴/[M050855]시메치콘","분할불가","",20240123,1398108124
"분할주의",198701383,"메디락디에스장용캡슐",1987June8th,"장용성필름코팅캡슐제","한미약품(주)","흰색~밝은 노란색의 가루가 함유된 상, 하 흰색의 장용성 경질캡슐제",02370,"정장제","일반의약품","단일","[M263434]엔테로코쿠스페슘균/[M080610]바실루스서브틸리스균","분할불가","",20250602,1248700613
"분할주의",198701676,"디낙스정(디클로페낙나트륨)",1987May1st,"장용성필름코팅정","지엘파마(주)","주황색의 원형 장용피정.",01140,"해열.진통.소염제","전문의약품","단일","[M050288]디클로페낙나트륨","분할불가","",20260220,1238114470
"분할주의",198800622,"판크론정",1988February11th,"장용성필름코팅정","영진약품(주)","장방형의 장용피를 한 연녹색의 필름코팅정",02330,"건위소화제","일반의약품","복합","[M040678]판크레아틴/[M100297]셀룰라제/[M273864]우담즙 건조엑스/[M227778]디메티콘","분할불가","",20250512,2188100352
"분할주의",198902108,"영풍칼리크레인정50단위(칼리디노게나제)",1989October4th,"장용성필름코팅정","영풍제약(주)","주황색 원형의 장용성 필름코팅정이다.",02190,"기타의 순환계용약","전문의약품","단일","[M082140]칼리디노게나제","분할불가","",20200716,1398102509
"분할주의",199000550,"유한스프렌딜지속정5밀리그램(펠로디핀)",1990August13th,"서방성필름코팅정","(주)유한양행","연분홍색의 원형 필름코팅정",02140,"혈압강하제","전문의약품","단일","[M084735]펠로디핀","분할불가","",20200106,1188100601
