TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"특정연령대금기","단일",D000440,"Benztropine Mesylate","벤즈트로핀메실산염","","나정",197100097,"환인벤즈트로핀정(벤즈트로핀메실산염)",19710202,"환인제약(주)","백색의 원형정제",01190,"기타의 중추신경용약","전문의약품","[M247864]벤즈트로핀메실산염",20140109,"생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것","","Benztropine Mesylate(벤즈트로핀메실산염)",20131127
"특정연령대금기","단일",D000026,"Cyproheptadine Hydrochloride Hydrate","시프로헵타딘염산염수화물","","나정",197500386,"영일페리악틴정(시프로헵타딘염산염수화물)(수출명:메디페리악틴정, 메디타딘정)(수출용)",19750205,"영일제약(주)","흰색의 원형 정제",01410,"항히스타민제","전문의약품","[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물",20140109,"안전성 및 유효성 미확립","","Cyproheptadine Hydrochloride Hydrate(시프로헵타딘염산염수화물)",20180620
"특정연령대금기","단일",D000276,Chlorprothixene,"클로르프로칙센","","당의정",197600629,"트룩살정10밀리그램(클로르프로칙센)(수출용)",19760730,"(주)유영제약","황색 당의정",01170,"정신신경용제","전문의약품","[M051534]클로르프로칙센",20140109,"- 안전성 및 유효성 미확립- 페노치아진계 약물을 소아에 투여한 경우 추체외로증상 특히 운동장애가 나타나기 쉬움","","Chlorprothixene(클로르프로칙센)",20130525
"특정연령대금기","단일",D000374,"Clemastine Fumarate","클레마스틴푸마르산염","","나정",197900219,"마스질정(클레마스틴푸마르산염)",19791210,"태극제약(주)","연한 노란색의 정제",01410,"항히스타민제","일반의약품","[M223199]클레마스틴푸마르산염",20140109,"진정 또는 수면 무호흡증, 경련, 흥분 등 중추신경증상을 일으킬 수 있음","","Clemastine Fumarate(클레마스틴푸마르산염)",20190911
"특정연령대금기","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부크림제",198100280,"도모호론크림(클로베타솔프로피오네이트)",19810224,"(주)동구바이오제약","흰색 거의 흰색의 유연한 크림으로 이물질이 없이 전질 균등한 외용 크림제이다.",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20140109,"소아는 체중당 체표면적의 비율이 성인보다 커서 코르티코이드로 인해 HPA축(시상하부-뇌하수체-부신 축) 억제, 쿠싱증후군, 발육장애, 두개내압항진 등이 나타나기 쉬움","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
"특정연령대금기","단일",D000479,"Clobetasol Propionate","클로베타솔프로피오네이트","","피부연고제",198300730,"베타베이트연고(클로베타솔프로피오네이트)(수출명:클로베덤0.05%연고)(CLOBEDERM0.05%Ointment)",19830317,"고려제약(주)","무색 내지 백색의 전질균등한 외용연고제이다",02640,"진통.진양.수렴.소염제","전문의약품","[M223224]클로베타솔프로피오네이트",20140109,"소아는 체중당 체표면적의 비율이 성인보다 커서 코르티코이드로 인해 HPA축(시상하부-뇌하수체-부신 축) 억제, 쿠싱증후군, 발육장애, 두개내압항진 등이 나타나기 쉬움","","Clobetasol Propionate(클로베타솔프로피오네이트)",20220129
"특정연령대금기","단일",D000584,"Chlorpromazine Hydrochloride","클로르프로마진염산염","","당의정",198500616,"명인클로르프로마진염산염정100mg",19850417,"명인제약(주)","주황색의 원형 당의정",01170,"정신신경용제","전문의약품","[M223216]클로르프로마진염산염",20140109,"추체외로증상 특히 운동장애가 나타나기 쉬움","","Chlorpromazine Hydrochloride(클로르프로마진염산염)",20201207
"특정연령대금기","단일",D000440,"Benztropine Mesylate","벤즈트로핀메실산염","","나정",198500629,"명인벤즈트로핀메실산염정2밀리그램",19850417,"명인제약(주)","흰색의 원형정제",01190,"기타의 중추신경용약","전문의약품","[M247864]벤즈트로핀메실산염",20140109,"생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것","","Benztropine Mesylate(벤즈트로핀메실산염)",20171122
"특정연령대금기","단일",D000584,"Chlorpromazine Hydrochloride","클로르프로마진염산염","","당의정",198500636,"명인클로르프로마진염산염정50mg",19850417,"명인제약(주)","주황색의 원형 당의정",01170,"정신신경용제","전문의약품","[M223216]클로르프로마진염산염",20140109,"추체외로증상 특히 운동장애가 나타나기 쉬움","","Chlorpromazine Hydrochloride(클로르프로마진염산염)",20210104
"특정연령대금기","단일",D000506,"Diclofenac Sodium","디클로페낙나트륨","","용액주사제",198600424,"소페낙주사(디클로페낙나트륨)",19860628,"아주약품(주)","무색 또는 미황색의 액체가 충진된 갈색 앰플제임.",01140,"해열.진통.소염제","전문의약품","[M050288]디클로페낙나트륨",20140109,"벤질알코올은 조숙아에서 치명적인 가쁜 호흡증상과 연관이 있는 것으로 보고됨","","Diclofenac Sodium(디클로페낙나트륨)",20250415
