DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,GRADE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
1893,"임부금기","단일",D000100,Progesterone,"프로게스테론","","[M040719]프로게스테론/[M086429]미분화프로게스테론/[M252921]프로게스테론(미분화)","[02470]난포호르몬제 및 황체호르몬제","연질캡슐제, 현탁상/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제","1등급",20081211,"임부에 대한 안전성 미확립.","경구","정상"
1894,"임부금기","단일",D000597,"3'-Deoxy-3'-Fluorothymidine(18F)","3'-데옥시-3'-플루오로티미딘(18F)","","[M230797]3´-데옥시-3´-플루오로티미딘(18F)액/[M262548]3'-데옥시-3'-플루오로티미딘(18F)액","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20150520,"임부에 대한 안전성 미확립.","","정상"
1895,"임부금기","단일",D000654,Abacavir,"아바카비르","","[I012292]아바카비르황산염/[M262968]아바카비르황산염","","정제","2등급",20150520,"임부에 대한 안전성 미확립.
동물실험에서 태반이행 보고. 랫드에서 태자 체중감소, 부종, 골격변화, 기형, 조기 자궁내 사망, 출생지연 등 나타남.","","정상"
1896,"임부금기","단일",D000738,Abatacept,"아바타셉트","","[M208741]아바타셉트","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130712,"임부에 대한 안전성 미확립.
동물실험에서 면역기능변형(갑상선과 췌장의 감염 등)보고.","","정상"
1897,"임부금기","단일",D000146,Abiraterone,"아비라테론","","[M262177]아비라테론아세테이트(미분화)","","정제/필름코팅정","1등급",20130523,"임부에 대한 안전성 미확립.
모체의 호르몬 농도변화로 인한 태아발달에 위해 가능성.","","정상"
1898,"임부금기","단일",D000033,Acamprosate,"아캄프로세이트","","[M102626]아캄프로세이트칼슘","","정제","2등급",20130712,"임부에 대한 안전성 미확립.","","정상"
1899,"임부금기","단일",D000149,Acarbose,"아카보즈","","[M085039]아카보즈","[03960]당뇨병용제","정제","2등급",20121121,"임부에 대한 안전성 미확립.","경구","정상"
1900,"임부금기","단일",D000739,Aceclofenac,"아세클로페낙","","[M040359]아세클로페낙","[01140]해열.진통.소염제","정제/캡슐","2등급",20081211,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.","경구","정상"
1901,"임부금기","단일",D000031,Acemetacin,"아세메타신","","[M080670]아세메타신","[01140]해열.진통.소염제","정제/캡슐","2등급",20081211,"동물실험에서 최기형성 보고. 태아 순환지속증, 동맥관수축, 동매관개존증, 신생아 신부전, 태아 장천공, 양수과소증 발생 보고. 
동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.","경구","정상"
1902,"임부금기","단일",D000249,Acetazolamide,"아세타졸아미드","","[M040351]아세타졸아미드","","정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제","2등급",20130712,"동물실험에서 기형발생 보고. 임상에서 임신 제1삼분기에 노출된 후 사지, 눈의 기형과 두개골-위턱얼굴 및 심장 기형 발생  보고.","","정상"
