DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN,AGE_BASE
455,"특정연령대금기","단일",D000149,Acarbose,"아카보즈","","[M085039]아카보즈","[03960]당뇨병용제","정제",20140109,"안전성 및 유효성 미확립","","정상","18세 이하"
456,"특정연령대금기","단일",D000147,Acetaminophen,"아세트아미노펜","","[M040353]아세트아미노펜/[M082309]아세트아미노펜제피세립/[M233006]아세트아미노펜 DC 500/600/[M246556]아세트아미노펜 (미분화)/[M262287]아세트아미노펜 과립","[01140]해열.진통.소염제","서방정/서방성필름코팅정/서방성당의정/서방성다층정/서방성장용필름코팅정",20140109,"-소아 및 고령자(노인)는 최소 필요량을 복용하고 이상반응에 유의
- 과도한 체온강하, 허탈, 사지냉각 등이 나타날 수 있음","","정상","12세 미만"
457,"특정연령대금기","단일",D000254,Albendazole,"알벤다졸","","[M081226]알벤다졸","[06420]구충제","경구용현탁액제/점이제, 현탁액용산제/현탁액제용주사용용제/직장용현탁액제/일반현탁분무제/정량현탁분무제/이식용현탁액제/점이현탁액제/유제/틴크제/전제/침제/레모네이드제/방향수제/주정제/피부액제/피부리니멘트제/도료/샴푸/경구용액제/질세정액/관류제/점이액제/혈액항응고보존액제/밀폐제용용액제/장기보존용액제/주사/피부단자시험용용액/방광내적용용액",20140109,"안전성 및 유효성 미확립","","정상","2세 미만"
458,"특정연령대금기","단일",D000457,Alclomethasone,"알클로메타손","","[M083381]디프로피온산알클로메타손/[M254155]알클로메타손디프로피오네이트","[02690]기타의 외피용약/[02640]진통.진양.수렴.소염제","피부로션제/연고/크림",20140109,"소아는 체중당 체표면적의 비율이 성인보다 커서 코르티코이드로 인해 HPA축 억제, 쿠싱증후군, 발육장애 등이 나타나기 쉬우므로 주의","","정상","1세 이하"
475,"특정연령대금기","단일",D000804,Aloxiprin,"알록시프린","","[M081254]알록시프린","[02190]기타의 순환계용약","정제",20140109,-,"","정상","14세 이하"
476,"특정연령대금기","단일",D000030,Amisulpride,"아미설프리드","","[M089148]아미설프리드","[01170]정신신경용제","정제/액상시럽제/건조시럽용 과립제",20140109,"안전성 및 유효성 미확립","","정상","15세 미만"
477,"특정연령대금기","단일",D000150,Atazanavir,"아타자나비르","","[M249264]아타자나비어황산염/[M263079]아타자나비르황산염","[06290]기타의 화학요법제","캡슐",20140109,"핵황달의 위험 나타날 수 있음","","정상","3개월 이하"
478,"특정연령대금기","단일",D000552,Atomoxetine,"아토목세틴","","[M212533]염산아토목세틴/[M246680]아토목세틴염산염","[01190]기타의 중추신경용약","캡슐/액상시럽제",20140109,"안전성 및 유효성 미확립","","정상","6세 미만"
479,"특정연령대금기","단일",D000656,Atropine,"아트로핀","","[M040370]황산아트로핀/[M084258]아트로핀/[M110023]아트로핀황산염/[M223111]아트로핀황산염수화물","[01310]안과용제","점안용액제/용액용점안분말제/현탁액점안제/안연고제/안겔/점안주사제",20230705,"- 심각한 전신 부작용 위험이 있음 - 조산아, 영아, 다운증후군, 강직마비 또는 뇌손상 어린이는 이 약의 전신흡수에 따른 중추신경계 장애, 심폐 및 위장관 독성에 감수성이 있음","점안제(1%)","정상","12세 미만"
480,"특정연령대금기","단일",D000551,Azelastine,"아젤라스틴","","[M084381]염산아젤라스틴/[M222870]아젤라스틴염산염","[01490]기타의 알레르기용약","정제",20140109,"안전성 및 유효성 미확립","","정상","6세 이하"
