ITEM_SEQ,INGR_CODE,INGR_NAME,QNT,INGD_UNIT_CD
195700013,D000155,"에페드린염산염",40,"밀리그램"
195700015,D000147,"벤조산나트륨카페인",0.2,"그램"
195700016,D000147,"벤조산나트륨카페인",0.1,"그램"
195700020,D001098,"아선약",100.0,"밀리그램"
195700020,D001670,"후박",50.0,"밀리그램"
195700020,D000709,"L-멘톨",21.0,"밀리그램"
195800018,D000155,"에페드린염산염",40,"밀리그램"
195800019,D000145,"아미노필린수화물",25,"밀리그램"
195900009,D001657,"바실루스서브틸리스균",3.0,"밀리그램"
195900009,D000363,"티아민질산염",0.3,"밀리그램"
195900009,D001098,"리보플라빈",0.2,"밀리그램"
195900009,D001521,"니코틴산아미드",0.1,"밀리그램"
195900043,D000671,"탄산수소나트륨",90,"밀리그램"
195900043,D001498,"침강탄산칼슘",40,"밀리그램"
195900043,D001491,"탄산마그네슘",25,"밀리그램"
195900045,D001098,"마황",0.67,"그램"
195900045,D000493,"인삼",0.2,"그램"
195900045,D000092,"구아이페네신",0.07,"그램"
195900051,D000363,"감초",1.5,"밀리그램"
195900051,D001098,"갈근",2.5,"밀리그램"
195900051,D000493,"인삼",10.0,"밀리그램"
195900051,D001670,"후박",2.5,"밀리그램"
195900051,D000147,"황련",1.0,"밀리그램"
196000001,D000064,"테트라사이클린염산염",250,"밀리그램"
196000008,D000559,"히드로클로로티아지드",25.0,"밀리그램"
196000010,D000145,"클로르페니라민말레산염",2,"밀리그램"
196000011,D000145,"클로르페니라민말레산염",2.0,"밀리그램"
196100002,D000241,"스트렙토마이신황산염",1,"그램"
196200032,D000314,"이소니아지드",100.0,"밀리그램"
196200034,D000363,"티아민염산염",6.0,"밀리그램"
196200034,D001098,"리보플라빈",6.0,"밀리그램"
196200034,D001521,"피리독신염산염",1.0,"밀리그램"
196300001,D001820,"디곡신",0.25,"밀리그램"
196300011,D001498,"침강탄산칼슘",160,"밀리그램"
196300011,D000671,"탄산수소나트륨",68,"밀리그램"
196300011,D001098,"건강틴크",0.48,"밀리그램"
196300025,D000667,"옥시토신",5,"아이.유"
196300035,D001820,"디곡신",0.25,"밀리그램"
196300064,D000199,"덱사메타손",0.75,"밀리그램"
196300084,D000493,"인삼",6.2,"그램"
196400020,D001819,"염화칼슘수화물",0.2,"그램"
196400020,D000565,"염화칼륨",0.3,"그램"
196400036,D000798,"푸로세미드",20.0,"밀리그램"
196400037,D000798,"푸로세미드",40,"밀리그램"
196400046,D001498,"침강탄산칼슘",100.0,"밀리그램"
196400046,D001491,"탄산마그네슘",50.0,"밀리그램"
196400046,D000671,"탄산수소나트륨",50.0,"밀리그램"
196400054,D000656,"아트로핀황산염수화물",0.5,"밀리그램"
196400089,D001098,"갈근",2.5,"밀리그램"
196400089,D000709,"l-멘톨",0.05,"밀리그램"
196400089,D000363,"감초",1.25,"밀리그램"
196400089,D000147,"향부자",2.5,"밀리그램"
196400089,D001670,"후박",2.5,"밀리그램"
196400090,D000493,"인삼",6.2,"그램"
196400099,D000549,"시클로세린",250,"밀리그램"
196500004,D000426,"메트로니다졸",250,"밀리그램"
196500051,D000747,"카페인무수물",50,"밀리그램"
196600062,D001098,"길경가루",11.7,"밀리그램"
196600062,D000363,"감초가루",8.3,"밀리그램"
196600063,D001521,"피리독신염산염",3,"밀리그램"
196600063,D001098,"리보플라빈",2,"밀리그램"
196600063,D000747,"카페인무수물",30,"밀리그램"
196600063,D000493,"인삼유동엑스",450,"마이크로리터"
196700015,D001819,"염화칼슘수화물",0.2,"그램"
196700015,D000565,"염화칼륨",0.3,"그램"
196700060,D000314,"에탐부톨염산염",400.0,"밀리그램"
196700061,D000709,"l-멘톨",240.0,"밀리그램"
196700061,D000493,"디펜히드라민",20.0,"밀리그램"
196800016,D001542,"D-만니톨",150,"그램"
196800036,D000134,"아세트아미노펜",300.0,"밀리그램"
196800036,D000092,"구아이페네신",80.0,"밀리그램"
196800036,D000493,"펜톡시베린시트르산염",15.0,"밀리그램"
196800036,D000896,"페닐레프린염산염",10.0,"밀리그램"
196800036,D000145,"클로르페니라민말레산염",2.5,"밀리그램"
196800036,D000747,"카페인무수물",30.0,"밀리그램"
196900028,D001098,"아스코르브산",50,"밀리그램"
196900031,D000560,"에피네프린",1,"밀리그램"
196900033,D000656,"아트로핀황산염수화물",0.5,"밀리그램"
196900042,D001370,"베르베린탄닌산염",500.0,"밀리그램"
196900058,D000493,"덱스트로메토르판브롬화수소산염수화물",75,"밀리그램"
