PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"쓸기담액50밀리그람","삼성제약(주)","안정성 시험 부적합(미생물한도)에 따른 영업자 회수",N,"",20260713,199900221,2078100726,"8806423025307,8806423025314",199900221
"바른인진호","(주)바른한방제약","품질 부적합(회분, 산불용성회분)",Y,"",20260710,201606023,2338107882,"8800631014504,8800631014511,8800631014528,8800631014535,8800631014542,8800631014559,8800631014566",
"농림해방풍","(주)농림생약","이산화황",Y,"",20260708,201105333,3128137170,"8800616029905,8800616029912,8800616029929",
"크레젯정10/5밀리그램(에제티미브,로수바스타틴)","(주)대웅제약","포장단위 표시사항 불일치(정제 수량 오기)",N,20260713000000,20260707,201506800,1248601143,"8806416061503,8806416061510,8806416061527,8806416061534",
"자모다정(독시라민숙신산염)","(주)와이에스생명과학","성상부적합 우려로 인한 영업자 회수",N,20260709000000,20260707,202500644,1358135444,"8800791000300,8800791000317",202500644
"큐알론점안액0.15%(히알루론산나트륨)(1회용)","국제약품(주)","2차 포장(알루미늄 호일)  표시기재 오기에 따른 영업자 회수",N,20260708000000,20260706,201400174,2078100309,"8806437037808,8806437037815,8806437037822,8806437042703,8806437042710,8806437042802,8806437042819,8806437042901,8806437042918,8806437042925,8806437042932,8806437043007,8806437043014,8806437043106,8806437043113,8806437043120,8806437050609,8806437050616,8806437050623",
"콘센비타프리미엄800정","일동제약(주)","표시기재 사항 일부 누락으로 인한 영업자회수",N,20260708000000,20260706,202401612,6828500435,"8806429068902,8806429068919",202401612
"푸른무약건강","(주)푸른무약","중금속(카드뮴)",Y,"",20260706,200901891,2048181939,"8800687000803,8800687000810,8800687000827,8800687000834,8800687000841",
"리나디엠메트서방정2.5/1000밀리그램(리나글립틴,메트포르민)","동화약품(주)","불순물(N-nitroso-meglumine) 허용기준 초과 검출",N,"",20260702,202400388,1108100102,"8806427075605,8806427075612",
"리나디엠메트서방정5/1000밀리그램(리나글립틴,메트포르민)","동화약품(주)","불순물(N-nitroso-meglumine) 허용기준 초과 우려에 따른 영업자 회수",N,20260703000000,20260702,202400383,1108100102,"8806427075506,8806427075513",
"1.케이보은프라그케어치약, 2.고스케어덴티플루치약, 3.투비짱충치케어치약, 4.쏘두위안티캐비티치약, 5.뷰카클래식구취케어치약, 6.에이카랩스닥터라이노치약(사과향), 7.뷰카클래식구취케어치약(스피아민트향), 8.뷰카클래식블랙차콜치약(허브민트향), 9.뷰카주니어마일드구취케어치약(포도향), 10.칸디데일사오공키즈치약(복숭아향), 11.아미덴클래식치약, 12.뷰카주니어마일드구취케어치약(딸기향), 13.아미덴일사오공키즈치약(딸기향), 14.크리오엑스퍼트브레스케어치약, 15.크리오엑스퍼트보타닉치약, 16.크리오엑스퍼트주니어치약(후르츠민트향), 17.네이쳐스영프로메가폴리스덴탈케어치약, 18.뷰카주니어마일드구취케어치약(사과향), 19.케이맘주니어구취케어치약(사과향), 20.앙오리지널구취케어치약, 21.러블리티스일사오공치약, 22.코튼하임덴탈에이지구취케어치약(쿨링아쿠아민트향), 23.뷰카주니어마일드구취케어치약(바나나향), 24.뷰카주니어마일드구취케어치약(복숭아향), 25.더블케이덴티에피소드치약, 26.안티프라그쎈스트롱치약, 27.하이안베이직치약(민트향), 28.치카포카주니어충치케어치약(포도향), 29.치카포카주니어충치케어치약(딸기향), 30.지그비주니어구취케어치약, 31.센토프라임블랙차콜구취케어치약, 32.센토프라임구취케어치약, 33.센토주니어세이프구취케어치약(딸기향), 34.센토주니어세이프구취케어치약(포도향), 35.센토주니어세이프구취케어치약(복숭아향), 36.센토주니어세이프구취케어치약(사과향), 37.지그비주니어구취케어치약(딸기향), 38.지그비주니어구취케어치약(사과향), 39.센토주니어세이프구취케어치약(트로피컬향), 40.케이맘베이비앤키즈일사오공퓨어치약","(주)케이보은제약","금속성 이물 혼입(뷰카클래식구취케어치약)",N,20260707000000,20260702,202101223,1798801453,"",
"클린방수밴드(1회용)","(주)대일제약","시판 후 안전관리 정보에 따른 사전예방적 조치로 영업자 회수",N,"",20260629,200407515,1358153118,"",
"현진몰약","(주)현진제약","회분, 산불용성회분",Y,20260710000000,20260629,200504568,2048189192,"8800648004901,8800648004918,8800648004925,8800648004932",
"현진종대황","(주)현진제약","회분",Y,20260710000000,20260629,200504683,2048189192,"8800648014603,8800648014610,8800648014627,8800648014634,8800648014641,8800648014658",
"나음당귀","(주)나음제약","중금속(카드뮴)",Y,20260702000000,20260629,201904854,2828601283,"8800645000807,8800645000814,8800645000821,8800645000838",
"1.퓨어클액(폴리헥사메틸렌비구아니드염산염 액 20%)","휴먼바이오(주)","수거검사(미생물한도)",Y,20260709000000,20260629,201601240,3128614037,"",
"비에녹스주(클로스트리디움보툴리눔독소A형)(수출용)","(주)한국비엔씨","국가출하승인없이 수출전용 의약품을 국내에 판매",Y,20260701000000,20260626,202000204,4048600676,"8800593000102,8800593000119",
"대성메디칼 탈지면","주식회사대성메디칼","사용기한 표기 오기재",Y,20260703000000,20260626,200408580,4038159510,"",
"판이실캡슐","(주)씨엠지제약","안정성시험 부적합(성상)에 따른 영업자 회수",N,20260713000000,20260626,201600878,1348171976,"8806486032403,8806486032410,8806486032427,8806486032434,8806486032441",201600878
"로디엔티정40/5밀리그램(텔미사르탄, 에스암로디핀니코틴산염)","한림제약(주)","불순물(N-nitroso-meglumine) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260626000000,20260624,202104294,1358102638,"8806453065700,8806453065717",
"쿠파린정5밀리그램(와파린나트륨)","하나제약(주)","안정성 시험 부적합(용출)에 따른 영업자 회수",N,20260626000000,20260624,200502107,1248137632,"8806578019107,8806578019114",
"글로틴듀오정2.5/850mg(리나글립틴, 메트포르민염산염)","(주)넥스팜코리아","불순물(N-nitroso-meglumine) 허용기준 초과 검출",N,20260626000000,20260624,202001275,3018125427,"8806625046001,8806625046018",
"글로틴듀오정2.5/1000mg(리나글립틴, 메트포르민염산염)","(주)넥스팜코리아","불순물(N-nitroso-meglumine) 허용기준 초과 검출",N,20260626000000,20260624,202001276,3018125427,"8806625045905,8806625045912",
"글로틴듀오정2.5/500mg(리나글립틴, 메트포르민염산염)","(주)넥스팜코리아","불순물(N-nitroso-meglumine) 허용기준 초과 검출",N,20260626000000,20260624,202001274,3018125427,"8806625045509,8806625045516",
"펠라스시럽(펠라고니움시도이데스11%에탄올추출물(1→8~10)ㆍ글리세린혼합액(8:2))","(주)일화","품질부적합 우려(용기불량, 성상이상)에 따른 영업자 회수",N,"",20260622,201109893,1328101004,"8806409023402,8806409023419",
"펠라고시럽(펠라고니움시도이데스11%에탄올추출물(1→8~10)·글리세린혼합액(8:2))","(주)씨엠지제약","품질부적합 우려(용기불량, 성상이상)에 따른 영업자 회수",N,20260707000000,20260609,201109869,1348171976,"8806486024507,8806486024514,8806486024521,8806486024538",
"이코사연질캡슐300밀리그램(이코사펜트산에틸)","대웅바이오(주)","성상 이상에 따른 영업자 회수",N,20260703000000,20260609,202203924,1248677584,"8806940041903,8806940041910,8806940041927",
"테이코신주(테이코플라닌)","일동제약(주)","시판후 안정성 시험에서 부적합(수분 시험 기준 초과)에 따른 영업자 회수",N,20260701000000,20260605,200200325,6828500435,"8806429022706,8806429022713,8806429022720",
"로바티탄정5/80밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201404745,1078198139,"8806689028807,8806689028814",
"로바티탄정5/160밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201404990,1078198139,"8806689029002,8806689029019",
"로바티탄정10/80밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201309655,1078198139,"8806689026506,8806689026513,8806689026520",
"로바티탄정10/160밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201309654,1078198139,"8806689026407,8806689026414,8806689026421",
"로바티탄정20/80밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201309653,1078198139,"8806689026704,8806689026711,8806689026728",
"로바티탄정20/160밀리그램","(주)엘지화학","시판 후 안정성시험 일부 항목 기준 초과 및 사전예방적 조치에 따른 영업자 회수",N,"",20260602,201309652,1078198139,"8806689026605,8806689026612,8806689026629",
"하트만덱스액","제이더블유중외제약(주)","시판 후 안전관리 정보에 따른 사전예방적 조치로 영업자 회수",N,"",20260602,196700015,1188102477,"8806449044702,8806449044719,8806449044726,8806449119301,8806449119318,8806449119325,8806449119332",
"엔탭허브작약","(주)엔탭허브","정량법(알비플로린 및 패오니플로린의 합)",Y,20260605000000,20260601,201900360,3308101200,"8800626015509,8800626015516,8800626015523",
"선일인동","농업회사법인선일생약주식회사","순도시험 1)이물",Y,20260605000000,20260601,201108773,1328199911,"8800617004604,8800617004611,8800617004628",
"형율차전자","형율제약주식회사","품질부적합[잔류농약(프로사이미돈) 기준 초과]",Y,20260624000000,20260601,201906653,2558600735,"8800647006906,8800647006913",
"인데놀정10mg(프로프라놀롤염산염)","동광제약(주)","불순물(N-nitroso -propranolol) 허용기준 초과 검출에 따른 영업자 회수",N,20260706000000,20260529,197400040,2018644250,"8806459024701,8806459024718,8806459024725,8806459024732",
"레이헥솔주300(이오헥솔)","일성아이에스(주)","제품 라벨에 표시기재(표준코드) 오기재로 인한 영업자 회수",N,20260625000000,20260528,202005106,1068100710,"8806554041405,8806554041412,8806554041429,8806554041436,8806554041443,8806554041450",
"1.엑스퍼트브레스케어일사오공치약, 2.엑스퍼트보타닉일사오공치약, 3.엑스퍼트주니어치약(트로피칼후르츠향), 4.덴티메이트일사오공구취케어치약, 5.덴티메이트일사오공충치케어치약, 6.덴티메이트뉴일사오공구취케어치약, 7.덴티메이트뉴일사오공충치케어치약, 8.크리오지오일사오공치약, 9.삭제, 10.덴티메이트뉴일사오공구취솔루션치약","(주)크리오","품질부적합 (pH)",Y,20260710000000,20260528,202400552,1298116141,"",
"펠라고시럽(펠라고니움시도이데스11%에탄올추출물(1→8~10)·글리세린혼합액(8:2))","(주)씨엠지제약","품질부적합 우려(성상, 미생물한도)에 따른 영업자 회수",N,20260707000000,20260526,201109869,1348171976,"8806486024507,8806486024514,8806486024521,8806486024538",
"스피롱액","삼성제약(주)","안정성 시험 부적합(성상, pH)에 따른 영업자 회수",N,20260601000000,20260526,201908484,2078100726,"8806423082409,8806423082416,8806423088609,8806423088616,8806473041104,8806473041111",201908484
"도라셋정","진양제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 에 따른 시중 유통품에 대한 영업자 회수",N,"",20260522,200712885,2148110673,"8806503017109,8806503017116,8806503017123,8806503017130",
"푸른무약목통","(주)푸른무약","성상 부적합(주피 미제거)",Y,20260522000000,20260520,200712693,2048181939,"8800687005709,8800687005716,8800687005723,8800687005730,8800687005747",
"올본당귀","주식회사올본","중금속(카드뮴)",Y,20260522000000,20260520,201903895,4858801436,"8800612004104,8800612004111,8800612004128,8800612004135",
"현진초과","(주)현진제약","순도시험 4)벤조피렌",Y,20260522000000,20260520,200504627,2048189192,"8800648016904,8800648016911,8800648016928,8800648016935",
"현진오매","(주)현진제약","순도시험 4) 벤조피렌",Y,20260522000000,20260520,200504595,2048189192,"8800648012609,8800648012616,8800648012623,8800648012630",
"엔탭허브오매","(주)엔탭허브","순도시험 4) 벤조피렌",Y,20260522000000,20260520,201900520,3308101200,"8800626002202,8800626002219,8800626002226",
"크레메진속붕정(구형흡착탄)","에이치케이이노엔(주)","품질부적합(잔류용매(에탄올)) 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20260617000000,20260520,202106217,2018638914,"8806400077602,8806400077619,8806400077626",
"허브팜곡기생","(주)허브팜","관능(성상) 부적합(기원 부적합, 편지곡기생)",Y,20260528000000,20260520,202501008,1328180770,"8800665021905,8800665021912,8800665021929,8800665021936",
"풍산강황","풍산주식회사","정량법(쿠르쿠민, 데메톡시쿠르쿠민, 비스데메톡시쿠르쿠민의 합) 부적합",Y,20260528000000,20260519,200007577,5088102535,"8800679001405,8800679001412,8800679001429",
"부설칸주(부설판)","파마사이언스코리아(주)","유연물질 기준 초과 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260528000000,20260518,202301532,2648108658,"8806276002609,8806276002616,8806276002623",
"유트렌정","일양바이오팜(주)","불순물(N-nitroso-N-desmethyl-tramadol)초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,"",20260515,200805598,3048122322,"8806732008404,8806732008411,8806732008428,8806732008435,8806966002100,8806966002117,8806966002124,8806966002131",
"유트렌세미정","일양바이오팜(주)","불순물(N-nitroso-N-desmethyl-tramadol)초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,"",20260515,200805599,3048122322,"8806732008503,8806732008510,8806732008527,8806732008534,8806966002001,8806966002018,8806966002025,8806966002032",
"트라마펜정","구주제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260611000000,20260514,200804563,1248136268,"8806698032901,8806698032918,8806698032925,8806698032932",
"트라마펜세미정","구주제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260611000000,20260514,201402890,1248136268,"8806698043709,8806698043716,8806698043723",
"이모나캡슐","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,200402546,1258139744,"8806575008807,8806575008814,8806575008821,8806575008838,8806575008845,8806575008852",200402546
"노텍정(세티리진염산염)","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,200102527,1258139744,"8806575001105,8806575001112,8806575001129,8806575001136,8806575001143",200102527
"하이타민골드정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,202204621,1258139744,"8806575040104,8806575040111,8806575040128,8806575040135",202204621
"탄시나정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,201905304,1258139744,"8806575034707,8806575034714,8806575034721,8806575034738,8806575034745,8806575034752,8806575034769,8806575034776,8806575034783",201905304
